name,playerID,AB,H,X2B,X3B,HR,BB,HBP,SF,RBI,X1B,SLG,OBP,OPS,AVG,batting.runs
C. J. Cron,croncj01,501,127,28,1,30,37,17,5,74,68,0.4930139720558882,0.32321428571428573,0.8162282577701739,0.25349301397205587,11.5
Joey Gallo,gallojo01,500,103,24,1,40,74,3,0,92,38,0.498,0.3119584055459272,0.8099584055459272,0.206,9.6
Jurickson Profar,profaju01,524,133,35,6,20,54,12,4,77,72,0.4580152671755725,0.335016835016835,0.7930321021924075,0.2538167938931298,9.5
Corey Dickerson,dickeco01,504,151,35,7,13,21,4,4,55,96,0.4742063492063492,0.3302063789868668,0.804412728193216,0.2996031746031746,9.3
Matt Olson,olsonma02,580,143,33,0,29,70,8,2,84,81,0.453448275862069,0.33484848484848484,0.7882967607105538,0.24655172413793103,9.2
Eddie Rosario,rosared01,559,161,31,2,24,30,0,2,77,104,0.47942754919499103,0.32318104906937395,0.8026085982643649,0.2880143112701252,9.1
Carlos Santana,santaca01,560,128,28,2,24,110,1,8,86,74,0.4142857142857143,0.35198821796759944,0.7662739322533137,0.22857142857142856,8.9
George Springer,springe01,544,144,26,0,22,64,5,3,71,96,0.4338235294117647,0.3457792207792208,0.7796027501909855,0.2647058823529412,8.1
Josh Bell,belljo02,501,131,31,4,12,77,0,5,62,84,0.4111776447105788,0.3567753001715266,0.7679529448821054,0.26147704590818366,7.5
Starling Marte,martest01,559,155,32,5,20,35,8,3,72,98,0.4597495527728086,0.32727272727272727,0.7870222800455359,0.2772808586762075,7.3
Chris Taylor,tayloch03,536,136,35,8,17,55,9,4,63,76,0.44402985074626866,0.33112582781456956,0.7751556785608382,0.2537313432835821,6.3
Brian Anderson,anderbr06,590,161,34,4,11,62,16,2,65,112,0.4,0.3567164179104478,0.7567164179104477,0.27288135593220336,5.6
Mike Moustakas,moustmi01,573,144,33,1,28,49,7,6,95,82,0.45898778359511344,0.31496062992125984,0.7739484135163732,0.2513089005235602,4.9
Trea Turner,turnetr01,664,180,27,6,19,69,5,0,73,128,0.41566265060240964,0.34417344173441733,0.759836092336827,0.2710843373493976,4.8
Ketel Marte,marteke01,520,135,26,12,14,54,3,2,59,83,0.43653846153846154,0.3316062176165803,0.7681446791550419,0.25961538461538464,4.7
Asdrubal Cabrera,cabreas01,546,143,36,1,23,41,3,2,75,83,0.45787545787545786,0.3158783783783784,0.7737538362538363,0.2619047619047619,4
Jean Segura,segurje01,586,178,29,3,10,32,4,6,63,136,0.41467576791808874,0.34076433121019106,0.7554400991282798,0.3037542662116041,2.9
Andrelton Simmons,simmoan01,554,162,26,5,11,35,5,5,75,120,0.41696750902527074,0.337228714524207,0.7541962235494777,0.2924187725631769,2.5
Marcell Ozuna,ozunama01,582,163,16,2,23,38,3,4,88,122,0.4329896907216495,0.3253588516746411,0.7583485423962906,0.2800687285223368,2.1
Yuli Gurriel,gourryu01,537,156,33,1,13,23,6,7,85,109,0.42830540037243947,0.3228621291448517,0.7511675295172912,0.2905027932960894,0.8
DJ LeMahieu,lemahdj01,533,147,32,2,15,37,2,7,62,98,0.4277673545966229,0.32124352331606215,0.7490108779126851,0.275797373358349,0.7
Ozzie Albies,albieoz01,639,167,40,5,24,36,5,3,72,98,0.4522691705790297,0.30453879941434847,0.7568079699933782,0.26134585289514867,0.3
Matt Duffy,duffyma01,503,148,22,1,4,47,7,2,44,121,0.3658051689860835,0.3613595706618962,0.7271647396479797,0.294234592445328,-0.1
Cesar Hernandez,hernace02,605,153,15,3,15,95,4,3,60,120,0.36198347107438017,0.3564356435643564,0.7184191146387366,0.2528925619834711,-0.7
Jose Peraza,perazjo01,632,182,31,4,14,29,9,5,58,133,0.4161392405063291,0.32592592592592595,0.7420651664322551,0.2879746835443038,-0.8
Yonder Alonso,alonsyo01,516,129,19,0,23,51,2,5,83,87,0.42054263565891475,0.3170731707317073,0.7376158063906221,0.25,-1.4
Starlin Castro,castrst01,593,165,32,2,12,48,0,6,54,119,0.3996627318718381,0.32921174652241114,0.7288744783942492,0.2782462057335582,-2.4
Max Kepler,keplema01,532,119,30,4,20,71,5,3,58,65,0.40789473684210525,0.3191489361702128,0.727043673012318,0.2236842105263158,-2.5
Ian Desmond,desmoia01,555,131,21,8,22,53,6,4,88,80,0.42162162162162165,0.3074433656957929,0.7290649873174145,0.23603603603603604,-3.6
Adam Jones,jonesad01,580,163,35,0,15,24,5,4,63,113,0.4189655172413793,0.3132137030995106,0.7321792203408899,0.2810344827586207,-3.7
Brandon Crawford,crawfbr01,531,135,28,2,14,50,8,5,54,91,0.3935969868173258,0.32491582491582494,0.7185128117331507,0.2542372881355932,-3.8
Odubel Herrera,herreod01,550,140,19,3,22,38,7,1,71,96,0.42,0.3104026845637584,0.7304026845637583,0.2545454545454545,-3.9
Eric Hosmer,hosmeer01,613,155,31,2,18,62,1,1,69,104,0.39804241435562804,0.32200886262924666,0.7200512769848747,0.2528548123980424,-5.1
Jeimer Candelario,candeje01,539,121,28,3,19,66,9,5,54,71,0.39332096474953615,0.3166397415185784,0.7099607062681146,0.22448979591836735,-5.4
Yoan Moncada,moncayo01,578,136,32,6,17,67,1,2,61,81,0.39965397923875434,0.3148148148148148,0.7144687940535692,0.23529411764705882,-5.9
Jason Kipnis,kipnija01,530,122,28,1,18,60,7,3,75,75,0.3886792452830189,0.315,0.703679245283019,0.23018867924528302,-7
